safe-conduct	เอกสารอนุญาตให้ผ่านได้โดยเฉพาะช่วงสงคราม
-escent	ค่อยๆ เป็น
carry something with one	จดจำได้ดี
constraint	ความยับยั้งชั่งใจ
dizzy	เวียนศีรษะ
rot	เรื่องไร้สาระ
calligraphy	ศิลปในการคัดลายมือ
Breathalyzer	เครื่องวัดปริมาณอัลกอฮอล์จากลมหายใจ
carrier	เรือบรรทุกเครื่องบินรบ
haul before	ถูกนำตัวขึ้นศาล
put ideas into someone's head	ใส่ความคิดผิด ๆ ให้
love match	การแต่งงานด้วยความรัก
rave against / at	โต้แย้งรุนแรง
primogenitor	บรรพบุรุษแรกเริ่ม
tanked up	เมาเหล้า
veer round	(เรือ) หันทิศ
drag on1	ทำให้มีชีวิตอยู่อย่างไม่มีความสุข
superfluity	สิ่งฟุ่มเฟือย
give someone the sack	เลิกจ้าง (คำไม่เป็นทางการ)
sticker	ผู้เคร่งครัด
commit for	มอบตัวเพื่อ
sauternes	เหล้าองุ่นขาวรสหวาน (ของฝรั่งเศส)
principle	องค์ประกอบที่สำคัญ
unbidden	ไม่ได้บังคับ
bud	เพื่อนยาก
addendum	สิ่งที่เพิ่มเข้า
grapeshot	กระสุนปืนลูกเล็ก
definable	ซึ่งกำหนดได้
crux	ปัญหายุ่งยาก
steam boiler	หม้อไอน้ำ
transmissible	ซึ่งส่งผ่านได้
live in sin	อยู่กินกันโดยไม่แต่งงาน
macerative	ซึ่งทำให้เปื่อยยุ่ย
Shan	ฉาน (ชนกลุ่มน้อยที่อาศัยอยู่ตามแถบภูเขาในพม่า ลาว จีน)
equally	อย่างเท่าเทียมกัน
scurrilous	หยาบคาย
crossword puzzle	ปริศนาอักษรไขว้
necropolis	สุสาน
infantile	เหมือนทารก
distort	ผิดรูปผิดร่าง
Pulitzer prize	รางวัลพูลิตเซอร์
convey to	โอนให้กับ (ทางกฎหมาย)
building block	ตัวต่อไม้หรือพลาสติกของเล่น
mass-produced	ซึ่งผลิตเป็นจำนวนมาก
incalculable	มากมาย
uncoupler	ผู้ปลดปล่อย
cooperate with	เป็นประโยชน์กับ
scooper	ผู้ทำให้เป็นโพรง
saponaceous	คล้ายสบู่
rook1	โกง (คำสแลง)
stainless steel	เหล็กที่ไม่เป็นสนิม
siesta	การงีบหลับตอนเที่ยง
seaware	สาหร่ายทะเลขนาดใหญ่ใช้ทำปุ๋ย
plug-in	ซึ่งเสียบหัวเสียบไฟฟ้าได้
volubly	อย่างพูดมาก
perpendicularly	อย่างตั้งฉาก
obtrusiveness	ความเด่นชัด
woollen	ผ้าขนสัตว์
bleed for	ทำให้จ่ายเงินอย่างไม่ยุติธรรมหรือโดนโกง (คำไม่เป็นทางการ)
root2	ส่งเสียงเชียร์
pivot on	มุ่งที่
rip out	ตัดออก/หลุดออก
southwestern	ทางทิศตะวันตกเฉียงใต้
reporter	ผู้รายงาน
rave about	พูดโกรธอย่างโมโห
for example	ตัวอย่างเช่น
caparison	เครื่องแต่งกายสำหรับม้าสงครามในสมัยก่อน
vindictive	ที่มีใจพยาบาท
Noel	คำที่มีความหมายว่า Christmas ที่ใช้ในเพลงหรือการ์ด
earsplitting	ดังมาก
cast away	เลิกติดต่อกับ
newsreader	ผู้อ่านข่าว
click for	ได้โอกาสในเรื่อง (คำไม่เป็นทางการ)
transcribe	แปลง
near	ใกล้เข้ามา
compassion	ความเห็นใจ
ultraliberal	ซึ่งเป็นเสรีนิยมสุดขั้ว
Supreme Soviet	ศาลสูงสุด
risotto	อาหารอิตาเลียนชนิดหนึ่ง
mutinously	ซึ่งก่อการจลาจล
teacake	ขนมเค้กขนาดเล็ก
work round to	ค่อยๆ ทำให้ถึง
mutinousness	การก่อจลาจล
Faculty of Dentistry	คณะทันตแพทยศาสตร์
rental	สำหรับเช่า
get the edge on	ได้เปรียบบางคน
itch	อาการคัน
dynastic	ที่เกี่ยวกับราชวงศ์
obstacle	อุปสรรค
din in1	ตอกย้ำ
fuddy-duddy	คนล้าสมัย
mollifier	ผู้ปลอบโยน
fetch out	ประท้วงหยุดงาน
obloquy	คำวิพากษ์อย่างรุนแรง
Noble prizes	รางวัลโนเบล (มอบให้ผู้มีผลงานยอดเยี่ยมที่สุดสาขาต่างๆ)
command	อำนาจบังคับบัญชา
invalid home	ส่งกลับประเทศเพราะป่วยหรือสุขภาพไม่ดี (ทางทหาร)
unleash on / upon	ปล่อยให้จู่โจม
'twixt	คำย่อจาก betwixt
beaker	ถ้วยที่ใช้ในห้องทดลอง
dynamo	ผู้ที่มีความกระตือรือร้น
supervisory	เกี่ยวกับการดูแลตรวจตรา
ultramarine	ที่มาจากโพ้นทะเล
harness	ใส่บังเหียน
band2	แถบคลื่นความถี่
work out as	รวมเป็น (การคำนวณ)
root out	ค้นหา
ping-pong	ทำให้เปลี่ยนอย่างรวดเร็ว
orienteering	กีฬาประเภทเดินเท้าที่ใช้แผนที่และเข็มทิศ
bare	ทำให้เตียนโล่ง
on the button	ตรงเวลาหรือถูกสถานที่
be of	มี (ความรู้สึก, คุณภาพ, สถานภาพฯลฯ)
prime minister	นายกรัฐมนตรี
shake by	จับมือทักทายกับ
barbiturate	ยากดประสาทชนิดหนึ่ง
entrap	ทำให้ติดกับดัก
single-space	พิมพ์บรรทัดเดียว
traumatic	เกี่ยวกับบาดแผล
swizzle stick	ไม้คนเครื่องดื่ม
showroom	ห้องที่ใช้แสดงสินค้า
muzzier	ผู้ใส่ที่ครอบปากและจมูก
arrogate to	แอบอ้างตน
kingship	การปกครองโดยกษัตริย์
watermelon	แตงโม
in memoriam	เพื่อระลึกถึง
savoury1	อาหารว่างรสเค็มหรือเผ็ดที่เสิร์ฟก่อนหรือหลังทานอาหาร
mechanizer	ผู้ทำให้เคลื่อนด้วยเครื่องยนต์
golden age	ยุคทอง
no-good	ไม่ดี
high-speed	ด้วยความเร็วสูง
weekender	ผู้ไปพักผ่อนวันสุดสัปดาห์
ventilative	ซึ่งมีอากาศถ่ายเท
journeyman	ช่างที่ได้รับการฝึกฝนมาอย่างดี
tether	ล่ามด้วยเชือก
underwent	กริยาช่อง 2 ของ undergo
carp1	บ่นถึงข้อผิดพลาด
in the long run	ในระยะยาว
projective	เกี่ยวกับ projection
keep in sight	เฝ้ามอง
brick in	ถมด้วยก้อนอิฐ
wellborn	ผู้ที่กำเนิดในตระกูลสูงศักดิ์
beggar	ทำให้ยากจนลง
rainy season	ฤดูฝน
short-winded	สั้นๆ
congratulate on	แสดงความยินดีกับ...ในเรื่อง
weald	บริเวณที่เป็นป่า (คำโบราณ)
commute	แลกเปลี่ยน
bilious	อยากอาเจียน
preciosity	ความพิถีพิถัน
ungodliness	ความไม่ศรัทธาในพระเจ้า
gelate	กลายเป็นเจล
infest	รังควาญ
bay3	เสียงหอน
-scope	สิ่งที่ช่วยในการมอง
alphabetize	จัดตามลำดับอักษร
encumber	กีดขวาง
dismal	หดหู่
name-dropping	การอ้างชื่อผู้มีชื่อเสียงที่รู้จักกันเพื่อทำให้คนอื่นประทับใจ
invertebrate	สัตว์ไม่มีกระดูกสันหลัง
intelligent	ซึ่งมีไหวพริบ
innocent	ผู้บริสุทธิ์
fugly	น่าเกลียดมาก
judge between	ตัดสินใจระหว่าง (ว่าสิ่งไหนดีกว่ากัน)
zoogeography	การศึกษาเกี่ยวกับการแพร่หลายของสัตว์
heterogeneous	ซึ่งต่างชนิดกัน
raise hell (with)	โกรธมาก
soldier	เป็นทหาร
surcingle	สายคาดเอวเสื้อคลุม
aport	บนกราบเรือด้านซ้าย
nautical	ทางทะเล
myxomatosis	โรคติดเชื้อของกระต่าย
conversation	การสนทนา
misguidedly	อย่างแนะนำผิดๆ
reply	การตอบสนอง
coalition	รัฐบาลผสม
parry	การป้องปัด
set down as	ตัดสินว่าเป็น
homeland	บ้านเกิด
stir up	คนให้เข้ากัน
kazoo	สะโพก (คำสแลง)
glue on	ง่วนอยู่กับ
make-believe	เสแสร้ง
iterate	กล่าวซ้ำ
Bermuda shorts	กางเกงขาสั้นเหนือเข่า
lisp out	พูดไม่ชัด (แบบเด็กพูด)
wear	เผยอารมณ์ให้เห็นบนใบหน้า
modernistic	สมัยใหม่
preface	เขียนคำนำ
tonal	เกี่ยวกับระดับเสียง
timecard	บัตรตอกเวลาทำงาน
impress upon	ทำให้เป็นรอย
Pride goes before a fall.	คุยโวมากไป เลยโชคร้ายไม่ได้ในสิ่งที่คุยไว้เลย
basket	ห่วงของกีฬาบาสเกตบอล
transplantation	การย้ายปลูก
electronical appliance	เครื่องใช้ไฟฟ้า (ส่วนมากเป็นเครื่องใช้ขนาดใหญ่ในบ้านเช่น เครื่องซักผ้า)
suckle	เลี้ยงดู
come across	พบโดยบังเอิญ
on the point of	พร้อมสำหรับทำบางสิ่ง
pomelo	ส้มโอ
reediness	ความอ่อนแอ
overabundance	ความเยอะเกินไป
questionary	แบบสอบถาม
home run	การตีลูกที่ทำให้ผู้ตีสามารถทำแต้มโดยการวิ่งได้ครบรอบทั้ง4 เบสในกีฬาเบสบอล
hitching post	เสาผูกม้า ลาหรือสัตว์อื่นๆ
arse-hole2	ตูด
temerity	การถือดี
criminology	อาชญวิทยา
particularise	ทำให้เฉพาะเจาะจง
bewilder	งุนงง
muckrake	ค้นหาและเปิดโปง
situation	สถานการณ์
lower house	สภาล่างของรัฐสภา  (House of commonsz)
weigh-in	การชั่งน้ำหนักอย่างเป็นทางการในกีฬาก่อนการแข่งขัน
midweek	กลางอาทิตย์
select as	เลือกให้เป็น
trading stamp	ตั๋วที่นำไปใช้แลกของ
Lincoln, Abraham	ประธานาธิบดีคนที่ 16 ของประเทศสหรัฐอเมริกา
feign	แสร้งทำ
fall through the floor	ประหลาดใจมาก
crone	หญิงแก่ที่น่าเกลียด
carillon	ระฆังที่เป็นชุด
malefactor	ผู้กระทำความผิด (ทางกฏหมาย)
growing	ีอย่างเพิ่มขึ้น
prodigious	มหึมา
phonetics	สัทศาสตร์
mistakable	ซึ่งเข้าใจผิด
cover crop	พืชคลุมดิน
coast guard	ยามชายฝั่ง
sera	คำนามพหูพจน์ของ serum
tumble	ล้ม
occultist	ผู้ใช้เวทมนตร์
league1	สหพันธ์
lolly	เงิน
cling	ทำให้ติดแน่น
lunch in	เอาอาหารกลางวันไปกิน (ที่บ้าน, ที่ทำงานฯลฯ)
be at one	เป็นหนึ่งเดียว
sign over	เซ็นชื่อโอนให้
course	อาหารจานหนึ่ง
ease off	แล่นออกจากฝั่ง (การแล่นเรือ)
while away	ทำให้เวลาผ่านไปอย่างสุขสบายหรือไม่ทำอะไร
tympanic membrane	เยื่อแก้วหู
enamor	ทำให้ลุ่มหลง (คำทางการ)
frontward	ไปข้างหน้า
in due course	ทันเวลา
plod	เสียงเดินก้าวเท้าหนักๆ
nous	ความฉลาด (คำไม่เป็นทางการ)
scoff at	คิดว่า (บางสิ่ง) ไม่มีค่า
fig leaf	สิ่งปกปิดความผิด
midlife crisis	ความวิตกกังวล
adjacency	ความใกล้
nuclear-powered	ซึ่งใช้พลังงานนิวเคลียร์
maggoty	เต็มไปด้วยหนอนแมลง
dab on	เช็ดด้วยน้ำยา
debility	ความอ่อนแอ
cross-pollination	การถ่ายเกสรดอกไม้จากดอกหนึ่งไปยังอีกดอกหนึ่ง
expert	ผู้เชี่ยวชาญ
acquit	ประพฤติตัว
adverbial clause	กริยาวิเศษณานุประโยค
Proserpine	เทพธิดาซึ่งใช้ชีวิตครึ่งปีบนโลกและอีกครึ่งปีใต้โลก (นิทานกรีกและโรมัน)
caddy1	ผู้ที่ถือถุงกอล์ฟให้ผู้เล่นกอล์ฟ
Mafiosos	คำนามพหูพจน์ของ Mafioso
minute2	ละเอียด
tub of lard	คนอ้วน
Them's fighting words.	คำที่จะทำให้เป็นเรื่องทะเลาะกัน
lay violent hands on oneself	ฆ่า
glottis	ช่องเปิดของสายเสียงบริเวณกล่องเสียง
explode	ระเบิดอารมณ์
issue out of	ไหลออกมาจาก
effusion	การปล่อยความรู้สึกออกมาโดยการพูดหรือเขียน
outplacement	การช่วยคนหางานหลังถูกเลิกจ้าง
presumptuous	อวดดี
unyieldingly	อย่างเด็ดเดี่ยว
oligarchy	การปกครองโดยกลุ่มคนกลุ่มหนึ่ง
blow to pieces	ระเบิดเพื่อทำลายให้แหลกละเอียด
eightfold	เป็น 8 เท่า
track shoe	รองเท้าพื้นตะปูใช้เล่นกีฬา
fipple flute	ปี่หรือขลุ่ยที่มีจุกไม้อุดอยู่ปลายข้างหนึ่ง
peep2	เสียงซุบซิบ
love-hate	ที่ทั้งรักทั้งเกลียด
matron of honour	หญิงที่แต่งงานแล้ว (เป็นเพื่อนเจ้าสาวที่สำคัญที่สุดในงาน)
in the middle of nowhere	ในที่ห่างไกล
ball-breaker	งานหนัก
pasha	ตำแหน่งข้าราชการระดับสูงในตุรกีและกลุ่มตะวันออกกลาง
bouncing	มีพละกำลังและสุขภาพดี
insuperable	ซึ่งไม่สามารถเอาชนะได้
Baroque	อย่างศิลปะหรือสถาปัตยกรรมแบบบาโรก
interdisciplinary	ซึ่งรวมกันสองสาขาวิชาขึ้นไป
Sir Anthony Blunt	อวัยวะเพศหญิง
saloon	ห้องโถงใหญ่เช่น ห้องแสดงนิทรรศการศิลปะ
eat like a bird	กินน้อย
churn into	ปั่น
smooch	การจูบ (คำไม่เป็นทางการ)
There's no smoke without fire.	เรื่องครหาใดๆ ต้องมีมูล
grebe	นกน้ำตระกูล Podicipedidae มีคอยาว
artilleryman	ทหารปืนใหญ่
drag away	ลากออกไป
encompass	ล้อมรอบ
bid2	ความพยายามที่จะทำบางสิ่ง
sigmoid	ซึ่งเป็นรูปตัวเอส (s)
kiwi fruit	ผลกีวี
unacquainted	ซึ่งแปลกหน้า
inimical	ซึ่งไม่เป็นมิตร
cut for	ตัดไพ่ให้
yobbo	ผู้ชายที่ทำพฤติกรรมหยาบคาย
gummed	ซึ่งเคลือบด้วยยางเหนียว
write away	เขียนไม่หยุด
corporal punishment	การลงโทษทางร่างกาย
sheeny	คนยิว
barley wine	เบียร์รสชาติแรงชนิดหนึ่ง
parthenogenesis	การสืบพันธุ์ที่ไข่เพศเมียไม่ได้ผสมพันธุ์กับอสุจิของเพศผู้
pitiless	ซึ่งไร้ความสงสาร
two-step	การเต้นรำในจังหวะบอลรูม
resolution	มติ
jib at	คัดค้าน
pet1	กอดด้วยความรัก
multipotent	ซึ่งผลกระทบหลายด้าน
flea in one's ear	การด่าว่าอย่างรุนแรง
impartial	ยุติธรรม
ionic	เกี่ยวกับอิออน
revoke	เรียกตัวกลับ
inorganic	อนินทรีย์
quoth	กริยาช่องที่ 2 ของ say (คำโบราณ)
dove	คนโง่
Tibetan	เกี่ยวกับธิเบต
vitamin	วิตามิน
forecastle	ดาดฟ้าหัวเรือ
rework	ปรับปรุงใหม่
bittern	นกยุโรปชนิดหนึ่งตระกูล Heron
restitution	การคืนสู่สภาพเดิม
road pizza	ศพของสัตว์บนถนน
put something on the map	ทำให้เด่น
misdiagnose	วินิจฉัยผิดพลาด
ferris wheel	ชิงช้าสวรรค์
irrationality	ความไม่มีเหตุผล
off guard	โดยไม่ระวังตัว
far and away	ห่างไกลมาก
pursy	ที่อ้วนมากเกินไป
modal auxiliary	คำกริยาช่วย
firebox	เตาของเครื่องจักรที่ใส่ถ่านไฟเพื่อผลิตไอน้ำ
go berserk	คลุ้มคลั่ง
morphine	มอร์ฟีน
lancer	ทหารม้าถือทวน
convict of	ทำให้เชื่อในเรื่อง
shaikhs	คำนามพหูพจน์ของ sheikh
camping gas	แก๊สที่บรรจุในภาชนะเล็กๆ สำหรับใช้เมื่อไปตั้งแคมป์
stereotypy	การทำซ้ำ
Y chromosome	โครโมโซมเพศ
Moorish	เกี่ยวกับ Moor
ill-omened	อัปมงคล
throw back	ดูเหมือนกับ (ญาติในอดีต)
fin2	ธนบัตรห้าดอลลาร์ (คำสแลง)
be striken with	เริ่มทุกข์ทรมานจาก
freshly	เมื่อเร็วๆนี้
oceanfront	ซึ่งตั้งอยู่บริเวณใกล้มหาสมุทร
alameda	ทางเดินสาธารณะที่มีร่มเงาของต้นไม้
rut	ทำให้เป็นร่อง
secrecy	ความลับ
wrought	กริยาช่องที่ 2 และ 3 ของ work (คำโบราณ)
circumflex	เครื่องหมายที่อยู่บนสระเพื่อแสดงการออกเสียงในบางภาษา
claim back	เรียกร้องเงินคืน
weightily	อย่างมีน้ำหนัก
comestible	อาหาร
silversmith	ช่างเงิน
aesthesia	ความรู้สึกต่อสิ่งใดสิ่งหนึ่ง
lock step	วิธีการเดินแถวที่ก้าวเท้าให้พร้อมกับเท้าของคนที่อยู่ข้างหน้า
vast	ใหญ่โต
catechism	คำถามและคำตอบที่ใช้ในการสอนถึงหลักการของศาสนาคริสต์
sermonize	เทศนา
Shazzam!	เชื่อมั้ย
bolshie	คน Bolshevik
aim for	พยายามเพื่อ
arena	สนามกีฬา
unsatisfactory	ซึ่งไม่พอใจ
triumvirate	การปกครองแบบมีสามคนปกครอง
melodrama	เรื่องประโลมโลก
customarily	ตามธรรมเนียม
dayroom	ห้องสันทนาการในหน่วยงาน
ask back	เชิญให้กลับไป
centigrade	หน่วยวัดอุณหภูมิความร้อน
oppress	ทำให้ทุกข์ใจ
lickspittle	ผู้ประจบประแจง
advertise	ลงประกาศ
break in on	ขัดจังหวะ
notion	ความเข้าใจ
crassitude	ความโง่เง่า
publicise	เผยแพร่
I don't know about	(ฉัน) สงสัยหรือไม่แน่ใจ
waffling	ซึ่งพูดหรือเขียนคลุมเครือ
radiogram	ภาพเอ็กซเรย์
gage2	เครื่องวัดระดับ
wind egg	ไข่ลม
acrophobia	โรคกลัวความสูง
dissatisfy at	ไม่พอใจในเรื่อง
blockage	การปิดล้อม
one jump ahead (of)	ก้าวนำคนอื่นไปหนึ่งก้าว
in the market (for)	อยากซื้อ (บางสิ่ง)
until all hours	จนดึกมาก
goloshe	รองเท้ายางกันน้ำ
reimburse to	ใช้คืน
go far towards	ช่วยเหลือในการทำบางสิ่งเป็นอันมาก
deplete of	ทำให้ว่างเปล่า
fingernail	เล็บมือ
go towards	สนับสนุน
sprawl about	เหยียดแขนขาตามสบาย
micturation	การขับปัสสาวะ
goad into	กระตุ้น
Gladstone bag	กระเป๋าเดินทางขนาดเล็กที่แบ่งเปิดออกเป็นสองส่วนเท่าๆ กัน
backdown	การยกเลิกข้อเรียกร้อง
twenty	ยี่สิบ
prime number	จำนวนเฉพาะ
mutationally	อย่างเปลี่ยนแปลง
woo	ขอความรัก (คำเก่าและคำทางวรรณคดี)
sourball	ขนมรสเปรี้ยวชนิดหนึ่ง
middleman	พ่อค้าคนกลาง
warm-hearted	ซึ่งใจดี
underlay2	กริยาช่อง 2 ของ underlie
estimate	ประมาณ
divide into	แบ่งเป็นชิ้นหรือเป็นส่วน
water table	ระดับพื้นผิวของน้ำบาดาล (ทางธรณีวิทยา)
understaff	ี่มีเจ้าหน้าที่ไม่เพียงพอ
bottom	ท้าย
brag of	คุยโต
searchlight	ไฟฉาย
frequent	ไปบ่อย
chop back	ตัดออก
tolerate	สามารถต้านฤทธิ์ยาได้
solicit	เรียกร้อง
spell for	สะกดให้กับ
delete from	ลบออกจาก
trove	ขุมทรัพย์
underseller	ผู้ขายตัดราคา
Where there's a will there's a way.	ความพยายามอยู่ที่ไหน ความสำเร็จอยู่ที่นั่น
ray2	ปลากระเบน
stratosphere	ชั้นบนของบรรยากาศ (สูงขึ้นไปจากโลก 15 ไมล์)
matting	เครื่องปูลาด
scaly	ซึ่งตกสะเก็ด
hardtack	ขนมปังแข็งที่เป็นเสบียงของทหาร
What about (having) something?	ดื่มหรือรับประทานสิ่งนั้นๆกันดีไหม
well house	สิ่งก่อสร้างที่สร้างขึ้นรอบบ่อน้ำ
asset	สินทรัพย์
unduly	อย่างมากเกินไป
nub	จุดสำคัญ
oxidation	ปฎิกิริยาเคมีที่เกิดจากการรวมตัวของออกซิเจนกับสารอื่น
buckle	พังทลาย
odorless	ที่ไม่มีกลิ่น
U-bolt	คานเหล็กที่งอเป็นรูปตัวยู
phitre	ใช้ยาเสน่ห์
Keep your shirt on!	คอยเดี๋ยว
open-ended	(คำถาม) ที่ต้องการคำตอบที่เปิดกว้าง
alexia	การสูญเสียความสามารถในการอ่าน
twosome	ที่เป็นสองเท่า
medically	ทางการแพทย์
lives	คำพหูพจน์ของ life
briar	พุ่มไม้มีหนามเช่น กุหลาบป่า
lumen	ช่องภายในหลอดหรือท่อ
cesspit	บ่อพักน้ำเสีย
Greater	มหานคร
pertinence	ความเกี่ยวข้อง
fixture	การแข่งขันกีฬาที่กำหนดเวลาและสถานที่แข่งเฉพาะ
prime mover	แรงผลักดันสำคัญ
haul onto the wind	ลากหรือแล่นเรือไปตามลม
bring something into sight	ทำให้เห็นชัด
wave at	โบกมือทักทาย
gimlet eye	การจ้องเขม็ง
grow over2	ทำให้ปกคลุม (บางสิ่ง) ด้วยบางสิ่งที่กำลังเติบโต
outer belt	ถนนวงแหวน (สร้างรอบเมืองเพื่อลดปัญหาจราจรติดขัดในเมือง)
fairy	ผู้ชายที่รักร่วมเพศ (คำสแลง)
majestically	อย่างสง่าผ่าเผย
over the hump	พ้นส่วนที่ยุ่งยาก
navigable	ซึ่งลึกและกว้างพอสำหรับการเดินเรือ
firelight	แสงไฟจากในห้อง
stave up	เหนื่อยล้า
elision	การละสระ พยัญชนะหรือพยางค์ในการออกเสียงหรือเขียน (ทางภาษาศาสตร์)
marauder	ผู้ปล้น
rancid	 (กลิ่นหรือรส) บูด
wireworm	หนอนลำตัวแข็งเป็นตัวอ่อนของแมลงเต่าทองและทำลายรากพืช
cape2	แหลม
tons of something	(บางสิ่ง) จำนวนมาก
square meal	อาหารครบห้าหมู่
mockery	การเยาะเย้ย
wheedle into	ชักจูง
be up against	ขัดแย้งกับ
gradational	ซึ่งเปลี่ยนแปลงอย่างช้าๆ
shellshocked	ซึ่งเป็นโรคเครียดจากการรบสงคราม
quit-rent	ค่าเช่า
wilfull	ดื้อดึง
indefinable	สิ่งที่ไม่สามารถอธิบายได้
assuage	ระงับ
favour	สนับสนุน
cove	ส่วนเว้าตามแนวเขาหรือหน้าผา
-ship	ภาวะ
indignant	ขุ่นเคือง
cog1	ซี่ล้อ
keep one's nose out of	อย่าเข้ามายุ่ง
multiply up	เพิ่มจำนวนของ
on one's way (somewhere)	ตามเส้นทางไปยัง (สถานที่)
secret agent	สายลับ
throw caution / discretion to the winds	กล้าเสี่ยง
ME	คำย่อของ Myalgic Encephalomyelitis
counsel	ที่ปรึกษา
orgasm	จุดสุดยอดของความรู้สึกทางเพศ
preoccupied	ที่มีใจหมกหมุ่น
tumefy	ทำให้บวม
forth	ออกจาก (คำโบราณ)
adumbral	เป็นเงา
uncase	เปิดที่คลุมออก
ease round	หันกลับเป็นวงกลม
muchness	จำนวนมหาศาล
be out of order	หยุดทำงาน
in absentia	ไม่มา (คำทางการ)
abundant	มากมาย
swash	การซัดสาด
quarterfinal	การแข่งก่อนรอบสุดท้าย
busybody	คนสอดรู้สอดเห็นเรื่องคนอื่น
splay	เพดานหรือประตูที่เอียงเปิดออก
squeeze from	ได้มายาก(จาก)
putty	ปูนอุดรอยรั่ว
worrywart	คนวิตกกังวลมากโดยไม่จำเป็น (คำไม่เป็นทางการ)
commensal	ที่อยู่แบบพึ่งพาอาศัยกัน
Commie	คอมมิวนิสต์
metaphysics	อภิปรัชญา
relaxation	การผ่อนคลาย
deposable	ซึ่งปลดออกจากตำแหน่ง
foyer	ห้องโถงในโรงแรมหรือโรงละคร
whiptail	จิ้งจกชนิดหนึ่งพบในแถบอเมริกาใต้และเม็กซิโก
aery	ที่จับต้องไม่ได้
leaf lard	มันที่ได้จากไขมันรอบไตของหมู
lie heavy on	ทำให้ไม่สุขสบาย
-ation	การกระทำ
on the alert (for)	ระวังตัว (ต่อบางคนหรือบางสิ่ง)
creosote	น้ำมันสีน้ำตาล (ใช้ทารักษาเนื้อไม้)
Money burns a hole in someone's pocket.	คนใช้เงินอย่างเทน้ำเทท่า
Malagasy	ชาว Madagascar
leak out	ซึมออก
ebb away	หายไป
armadillo	ตัวนิ่ม
look up	เยี่ยม
intestinal	เกี่ยวกับลำไส้
skylight	หน้าต่างบนหลังคา
siren	เสียงหวอ
blood type	หมู่เลือด
life buoy	ห่วงชูชีพ
in deep	อย่างล้ำลึก (คำสแลง)
neighbour	ใกล้เคียง
adroit	คล่องแคล่ว
debilitate	ทำให้อ่อนกำลัง
enlighten on	ทำให้เข้าใจมากขึ้น
big drink	มหาสมุทรแอตแลนติก
midtown	ใจกลางเมือง
greensward	สนามหญ้าสีเขียว (คำเก่า)
by leaps and bounds	อย่างรวดเร็ว
disappointment	สิ่งที่ทำให้ผิดหวัง
parlour	ร้านค้า (เช่น ร้านเสริมสวย)
metalware	เครื่องใช้ประเภทโลหะ
heavy metal	ดนตรีร็อกที่มีลักษณะเฉพาะคือเสียงดังและมีเนื้อหาที่รุนแรง
uplink	ซึ่งเป็นทางผ่านของคลื่นวิทยุหรือสัญญาณดาวเทียม
pitiful	น่าสงสาร
amoral	ไร้ศีลธรรม
Japanese	ภาษาญี่ปุ่น
midiron	ไม้ตีกอล์ฟหัวเหล็ก
depict	วาดภาพ
hardline	ที่ยึดมั่นในหลักการ
base1	ด่าง
pull up one's roots	ละทิ้งถิ่นที่อยู่
incoordination	การไม่ประสานกัน
watch night	พิธีทางศาสนาในคืนส่งท้ายปีเก่า
terms	ข้อตกลง
take one's medicine	ยอมรับความผิด
led	กริยาช่องที่ 2 และ 3 ของคำกริยา lead
take before	ส่งไปเพื่อให้ยอมรับ
generally	โดยทั่วไป
round-shouldered	ซึ่งมีหลังส่วนบนโก่ง
rug rat	เด็กเล็ก
nonevent	เหตุการณ์กลับตาลปัตร
playwright	ผู้เขียนบท
inheritable	สามารถสืบมรดกต่อไปได้ (กฎหมาย)
gun barrel	กระบอกปืน
wrap up in	ห่อ
yard goods	ผ้าหรือสิ่งที่ขายเป็นหลา
leave it out1	หยุดพูดหรือหยุดทำสิ่งนั้น
daylight	กลางวัน
drank	ดื่ม (กิริยาช่องที่ 2 และ 3 ของคำกริยา drink)
touchwood	ไม้ซึ่งติดไฟง่าย
make play with	เอ่ยถึงบางสิ่งเพื่อให้เกิดผลบางอย่าง
pensionary	เกี่ยวกับบำนาญ
make down	เย็บให้เล็กลง
zip	ซิป
flush from	ทำให้ (คนหรือสัตว์) ออกจากที่ซ่อน
animal heat	ความร้อนที่เกิดขึ้นในกระบวนการเผาผลาญอาหารในร่างกายสัตว์
earl	ตำแหน่งขุนนางอังกฤษ
notorious	ซึ่งมีชื่อเสียงในทางที่ไม่ดี
golosh	รองเท้ายางกันน้ำ
routine	ซ้ำซาก
preparedness	ความพร้อม
choir	ร้องประสานเสียง
apostille	หมายเหตุ
sea route	เส้นทางเดินเรือ
unblinking	ซึ่งไม่กระพริบตา
ether	อีเธอร์
unicycle	รถล้อเดี่ยว (โดยเฉพาะรถจักรยานถีบ)
sake	เหล้าสาเก (ของญี่ปุ่น)
Good heavens!	คำอุทานแสดงความตกใจ / ประหลาดใจ
mercurial	ยาที่มีสารปรอท
eightsome reel	คณะเต้นรำที่ประกอบด้วย 8 คน (เต้นรำโดยจับคู่กันเป็นวงกลม)
showboat	เรือที่จัดการแสดง
weirdly	อย่างแปลกประหลาด
xyster	เครื่องมือผ่าตัดสำหรับตะไบกระดูก
tauto-	เหมือนกัน
dah	สัญลักษณ์ขีดยาว (ในรหัสวิทยุหรือรหัสมอส)
batter up	ทุบให้พัง
circumspect	ที่คิดอย่างรอบคอบ
occupied	ซึ่งยุ่งวุ่นวาย
vitamin K	วิตามินเค ช่วยในการแข็งตัวของเลือด
wear out	ใช้จนเบื่อ (คำพูด)
